1,58
2,25
3,24
4,34
5,54
6,25
7,19
8,23
9,30
10,20
11,31
12,24
13,22
14,26
15,20
16,27
17,24
18,27
19,30
20,26
21,25
22,24
23,24
24,32
25,21
26,25
27,17
28,20
29,20
30,19
31,22
32,20
33,25
34,22
35,21
36,32
37,23
38,17
39,22
40,30
41,19
42,24
43,20
44,26
45,24
46,20
47,20
48,22
49,21
50,29
51,20
52,27
53,25
54,35
55,21
56,21
57,16
58,35
59,16
60,20
61,22
62,21
63,19
64,30
65,18
66,35
67,19
68,24
69,18
70,26
71,23
72,21
73,18
74,20
75,25
76,37
77,21
78,21
79,26
80,23
81,20
82,22
83,16
84,24
85,18
86,20
87,23
88,22
89,17
90,20
91,24
92,24
93,21
94,39
95,23
96,20
97,32
98,28
99,21
100,38
101,19
102,25
103,25
104,22
105,18
106,26
107,27
108,17
109,23
110,27
111,18
112,20
113,22
114,20
115,19
116,20
117,21
118,20
119,24
120,22
121,18
122,26
123,25
124,23
125,19
126,20
127,28
128,30
129,21
130,21
131,26
132,28
133,16
134,26
135,17
136,20
137,19
138,16
139,18
140,24
141,17
142,27
143,17
144,22
145,20
146,23
147,17
148,25
149,24
150,24
151,21
152,20
153,23
154,22
155,29
156,20
157,26
158,17
159,20
160,22
161,19
162,20
163,24
164,17
165,23
166,27
167,21
168,17
169,22
170,27
171,24
172,22
173,23
174,17
175,29
176,22
177,21
178,32
179,25
180,30
181,24
182,16
183,20
184,20
185,25
186,28
187,22
188,20
189,21
190,23
191,21
192,17
193,22
194,16
195,18
196,18
197,24
198,19
199,18
200,27
201,29
202,24
203,28
204,22
205,18
206,33
207,21
208,22
209,22
210,26
211,35
212,27
213,20
214,21
215,20
216,21
217,18
218,23
219,21
220,22
221,24
222,24
223,17
224,24
225,18
226,23
227,26
228,24
229,20
230,23
231,22
232,40
233,34
234,18
235,28
236,24
237,29
238,31
239,20
240,20
241,17
242,26
243,23
244,19
245,25
246,27
247,20
248,17
249,17
250,27
251,19
252,23
253,24
254,20
255,24
256,26
257,20
258,37
259,29
260,21
261,30
262,26
263,29
264,18
265,22
266,16
267,31
268,30
269,22
270,18
271,23
272,18
273,19
274,17
275,22
276,18
277,26
278,21
279,19
280,24
281,21
282,19
283,17
284,22
285,19
286,21
287,27
288,20
289,27
290,22
291,25
292,19
293,22
294,25
295,35
296,19
297,22
298,22
299,25
300,20
301,22
302,22
303,21
304,19
305,25
306,22
307,18
308,29
309,28
310,36
311,27
312,19
313,32
314,19
315,28
316,27
317,17
318,20
319,22
320,27
321,27
322,24
323,19
324,28
325,22
326,17
327,18
328,17
329,21
330,16
331,21
332,19
333,26
334,21
335,20
336,28
337,16
338,22
339,15
340,25
341,30
342,20
343,18
344,22
345,25
346,23
347,31
348,17
349,25
350,29
351,15
352,33
353,22
354,24
355,18
356,17
357,27
358,19
359,38
360,19
361,36
362,28
363,23
364,24
365,31
366,22
367,29
368,41
369,37
370,31
371,22
372,24
373,29
374,27
375,28
376,25
377,40
378,36
379,32
380,35
381,27
382,28
383,39
384,28
385,28
386,28
387,25
388,42
389,21
390,21
391,22
392,22
393,21
394,25
395,21
396,34
397,19
398,20
399,19
400,23
401,20
402,21
403,21
404,26
405,31
406,25
407,30
408,21
409,26
410,28
411,18
412,20
413,18
414,18
415,19
416,16
417,22
418,28
419,20
420,17
421,18
422,21
423,22
424,18
425,18
426,24
427,24
428,24
429,17
430,27
431,21
432,30
433,17
434,21
435,31
436,23
437,19
438,22
439,21
440,23
441,17
442,31
443,23
444,17
445,21
446,24
447,18
448,21
449,20
450,25
451,18
452,23
453,20
454,21
455,17
456,21
457,25
458,27
459,18
460,17
461,29
462,29
463,19
464,27
465,25
466,19
467,21
468,18
469,16
470,23
471,23
472,25
473,25
474,22
475,24
476,25
477,33
478,21
479,23
480,20
481,20
482,25
483,17
484,17
485,24
486,21
487,19
488,25
489,20
490,30
491,18
492,22
493,18
494,23
495,17
496,25
497,24
498,24
499,23
500,20

AVERGAGE: 23.28
