1,22816
2,21468
3,27799
4,32604
5,26312
6,26675
7,29569
8,37262
9,36222
10,31326
11,25637
12,20976
13,22921
14,22773
15,25274
16,28262
17,21347
18,21218
19,21342
20,19544
21,21273
22,23463
23,22740
24,24167
25,19406

AVERGAGE: 25295.84
